ID,Warehouse Block,Shipment Mode,Customer Care Calls,Customer Rating,Product Cost,Previous Orders,Product Priority,Gender,Discount Offered,Shipment Weight (g),Delivery Status,
3348,F,Ship,4,2,270,2,high,female,3.0%,4914,On Time,
3349,D,Ship,3,1,234,4,high,male,6.0%,4942,Delayed,
3350,F,Ship,3,5,186,2,medium,male,4.0%,4352,Delayed,
3351,A,Ship,4,5,157,2,medium,male,6.0%,5937,Delayed,
3352,B,Ship,4,4,268,3,low,male,7.0%,5947,Delayed,
3353,C,Ship,4,3,244,2,low,male,10.0%,4486,On Time,
3354,F,Ship,4,5,190,3,low,male,2.0%,4554,Delayed,
3355,D,Ship,4,4,161,4,low,male,5.0%,5038,Delayed,
3356,F,Ship,2,4,162,3,high,female,2.0%,5893,On Time,
3357,A,Ship,4,3,163,8,medium,female,6.0%,5739,Delayed,
3358,B,Ship,3,3,211,6,low,male,5.0%,5777,On Time,
3359,C,Ship,3,4,205,8,medium,male,1.0%,4977,On Time,
3360,F,Ship,3,5,150,3,medium,female,4.0%,4442,On Time,
3361,D,Ship,2,5,209,5,medium,female,10.0%,4623,On Time,
3362,F,Ship,5,2,250,3,medium,female,6.0%,5298,Delayed,
3363,A,Ship,3,2,206,3,high,female,1.0%,4431,On Time,
3364,B,Ship,5,2,244,3,low,male,2.0%,4198,Delayed,
3365,C,Ship,2,1,180,3,low,male,2.0%,4615,On Time,
3366,F,Ship,4,4,256,3,medium,male,1.0%,5784,On Time,
3367,D,Ship,5,4,273,3,medium,female,2.0%,5672,On Time,
3368,F,Ship,4,1,178,8,medium,female,6.0%,4872,Delayed,
3369,A,Ship,4,2,296,2,medium,female,2.0%,1233,Delayed,
3370,B,Ship,3,3,249,5,medium,female,9.0%,1752,Delayed,
3371,C,Ship,4,5,151,4,medium,male,3.0%,5470,Delayed,
3372,F,Ship,4,3,270,2,high,female,5.0%,5346,Delayed,
3373,D,Ship,3,2,234,4,high,female,7.0%,4568,On Time,
3374,F,Ship,3,4,186,2,medium,female,9.0%,5841,Delayed,
3375,A,Ship,4,1,157,2,medium,male,3.0%,5801,Delayed,
3376,B,Ship,4,2,268,3,low,female,3.0%,5488,On Time,
3377,C,Ship,4,1,244,2,low,female,3.0%,4644,On Time,
3378,F,Ship,4,4,190,3,low,male,2.0%,4800,Delayed,
3379,D,Ship,4,2,161,4,low,female,10.0%,5322,Delayed,
3380,F,Ship,2,2,162,3,high,male,10.0%,4489,On Time,
3381,A,Ship,4,1,163,8,medium,female,9.0%,5489,On Time,
3382,B,Ship,3,2,211,6,low,female,2.0%,4417,Delayed,
3383,C,Ship,3,4,205,8,medium,female,5.0%,4869,On Time,
3384,F,Ship,3,3,150,3,medium,male,4.0%,5536,Delayed,
3385,D,Ship,2,5,209,5,medium,female,9.0%,5565,Delayed,
3386,F,Ship,5,3,250,3,medium,male,4.0%,4343,Delayed,
3387,A,Ship,3,1,206,3,high,female,8.0%,4763,On Time,
3388,B,Ship,5,5,244,3,low,male,9.0%,5695,Delayed,
3389,C,Ship,2,2,180,3,low,male,2.0%,5033,On Time,
3390,F,Ship,4,5,256,3,medium,male,10.0%,4504,On Time,
3391,D,Ship,5,4,273,3,medium,male,6.0%,4044,On Time,
3392,F,Ship,4,2,178,8,medium,male,5.0%,4120,On Time,
3393,A,Ship,4,3,296,2,medium,female,9.0%,1523,On Time,
3394,B,Ship,4,2,275,6,medium,male,2.0%,1712,On Time,
3395,C,Ship,5,5,270,3,low,male,2.0%,4351,On Time,
3396,F,Ship,6,5,224,4,medium,male,6.0%,4616,Delayed,
3397,D,Ship,2,4,172,5,low,male,4.0%,4668,Delayed,
3398,F,Ship,4,4,176,3,low,female,1.0%,4774,Delayed,
3399,A,Road,6,2,240,4,low,male,9.0%,4099,Delayed,
3400,B,Road,3,4,213,3,low,female,5.0%,4535,On Time,
3401,C,Road,4,2,197,3,low,female,2.0%,5707,Delayed,
3402,F,Road,4,5,167,2,low,female,7.0%,4289,On Time,
3403,D,Road,5,1,180,3,low,female,2.0%,5013,On Time,
3404,F,Road,3,1,119,2,low,female,10.0%,4146,On Time,
3405,A,Road,5,5,232,4,low,male,3.0%,5447,Delayed,
3406,B,Road,3,5,139,2,medium,male,7.0%,5536,Delayed,
3407,C,Road,3,2,272,3,low,male,2.0%,4459,On Time,
3408,F,Road,3,2,253,3,low,female,7.0%,4915,Delayed,
3409,D,Road,3,2,188,3,low,male,4.0%,5376,Delayed,
3410,F,Road,3,4,202,3,medium,male,5.0%,5169,Delayed,
3411,A,Road,3,1,134,3,low,female,7.0%,5802,On Time,
3412,B,Road,3,5,110,3,medium,male,3.0%,4252,On Time,
3413,C,Road,3,2,172,2,low,female,9.0%,4532,On Time,
3414,F,Road,3,1,188,3,low,male,3.0%,4222,Delayed,
3415,D,Road,3,1,258,4,medium,female,6.0%,5365,On Time,
3416,F,Road,5,3,234,3,low,male,10.0%,5673,Delayed,
3417,A,Road,3,4,148,4,medium,female,9.0%,5301,Delayed,
3418,B,Road,5,3,194,4,low,female,2.0%,5396,Delayed,
3419,C,Road,4,4,266,3,medium,female,2.0%,5413,On Time,
3420,F,Road,5,5,158,3,medium,male,7.0%,5559,On Time,
3421,D,Flight,5,1,228,2,high,male,6.0%,4984,On Time,
3422,F,Flight,4,5,159,2,low,male,1.0%,5671,Delayed,
3423,A,Flight,3,4,255,4,low,male,10.0%,4107,Delayed,
3424,B,Flight,3,4,213,3,low,female,4.0%,5481,On Time,
3425,C,Flight,3,4,148,2,low,female,5.0%,4693,On Time,
3426,F,Flight,4,5,219,3,medium,male,6.0%,5957,On Time,
3427,D,Flight,3,5,168,5,medium,male,9.0%,5731,On Time,
3428,F,Flight,4,3,148,5,medium,female,6.0%,4802,Delayed,
3429,A,Flight,3,4,149,3,low,female,5.0%,5467,Delayed,
3430,B,Flight,3,5,245,6,high,male,9.0%,4793,Delayed,
3431,C,Flight,3,1,200,2,medium,male,10.0%,5178,On Time,
3432,F,Flight,3,1,228,3,medium,male,9.0%,5530,Delayed,
3433,D,Flight,4,1,175,4,low,male,2.0%,4053,Delayed,
3434,F,Flight,3,3,201,3,low,male,9.0%,5895,On Time,
3435,A,Flight,4,3,267,4,low,male,7.0%,5140,Delayed,
3436,B,Flight,3,4,217,2,medium,female,9.0%,5450,Delayed,
3437,C,Flight,2,3,160,2,high,male,3.0%,4409,Delayed,
3438,F,Flight,4,4,264,3,low,female,2.0%,4279,On Time,
3439,D,Flight,3,1,179,3,high,male,5.0%,5898,On Time,
3440,F,Flight,4,5,259,3,medium,male,10.0%,4921,On Time,
3441,A,Flight,4,5,178,2,high,male,5.0%,5403,Delayed,
3442,B,Flight,3,2,242,5,medium,male,6.0%,4694,Delayed,
3443,C,Ship,4,4,235,2,low,male,4.0%,5671,Delayed,
3444,F,Ship,4,1,247,2,medium,female,7.0%,5098,Delayed,
3445,D,Ship,2,2,240,5,low,male,7.0%,4138,On Time,
3446,F,Ship,3,1,252,2,low,male,4.0%,5559,Delayed,
3447,A,Ship,5,4,237,2,low,male,8.0%,5600,On Time,
3448,B,Ship,4,2,161,3,low,female,4.0%,5947,Delayed,
3449,C,Ship,2,3,144,4,low,female,10.0%,4075,Delayed,
3450,F,Ship,4,1,163,4,medium,male,2.0%,5432,On Time,
3451,D,Ship,4,3,246,3,low,female,5.0%,5118,Delayed,
3452,F,Ship,3,2,213,3,medium,male,10.0%,5993,On Time,
3453,A,Ship,5,1,123,2,low,female,9.0%,5497,Delayed,
3454,B,Ship,4,3,192,3,low,male,1.0%,4045,On Time,
3455,C,Ship,4,4,149,3,low,female,8.0%,5658,On Time,
3456,F,Ship,5,3,206,4,high,female,1.0%,4583,Delayed,
3457,D,Ship,6,4,243,6,low,male,8.0%,5218,Delayed,
3458,F,Ship,4,5,136,3,low,female,1.0%,4585,On Time,
3459,A,Ship,4,1,170,2,medium,female,5.0%,5182,Delayed,
3460,B,Ship,2,4,180,2,low,female,8.0%,4321,On Time,
3461,C,Ship,3,5,220,2,low,female,1.0%,5663,Delayed,
3462,F,Ship,3,3,144,2,low,male,6.0%,5994,On Time,
3463,D,Ship,3,4,271,2,medium,male,6.0%,4218,Delayed,
3464,F,Ship,4,4,186,2,medium,female,9.0%,4887,On Time,
3465,A,Ship,2,5,247,4,medium,male,4.0%,5255,On Time,
3466,B,Ship,4,4,202,3,medium,male,2.0%,4299,On Time,
3467,C,Ship,4,3,143,3,medium,female,3.0%,5062,On Time,
3468,F,Ship,3,1,180,3,low,female,10.0%,5633,Delayed,
3469,D,Ship,4,5,221,3,medium,female,3.0%,4430,On Time,
3470,F,Ship,4,3,173,3,low,female,7.0%,4810,On Time,
3471,A,Ship,2,5,107,3,medium,male,2.0%,4853,Delayed,
3472,B,Ship,3,4,259,2,medium,female,3.0%,4154,On Time,
3473,C,Ship,5,4,134,3,medium,male,4.0%,4908,Delayed,
3474,F,Ship,3,2,204,4,low,male,4.0%,4745,Delayed,
3475,D,Ship,2,2,161,5,medium,male,3.0%,4138,Delayed,
3476,F,Ship,6,4,100,5,low,female,7.0%,5668,On Time,
3477,A,Ship,5,2,260,4,medium,female,3.0%,5890,Delayed,
3478,B,Ship,5,2,196,3,low,female,4.0%,4271,Delayed,
3479,C,Ship,5,2,260,3,low,male,1.0%,4799,On Time,
3480,F,Ship,3,1,193,4,low,male,5.0%,4700,Delayed,
3481,D,Ship,4,1,258,3,medium,male,7.0%,4159,Delayed,
3482,F,Ship,4,3,254,4,low,male,9.0%,4492,Delayed,
3483,A,Ship,3,5,216,4,low,female,3.0%,4934,Delayed,
3484,B,Ship,4,1,273,3,low,female,5.0%,5323,Delayed,
3485,C,Ship,4,4,223,4,low,male,1.0%,4219,Delayed,
3486,F,Ship,4,1,182,2,medium,female,10.0%,5638,Delayed,
3487,D,Ship,3,4,201,3,low,female,6.0%,5722,On Time,
3488,F,Ship,4,3,249,3,medium,female,6.0%,5657,On Time,
3489,A,Ship,5,4,152,3,low,male,1.0%,5314,On Time,
3490,B,Ship,3,1,244,4,medium,male,6.0%,4734,On Time,
3491,C,Ship,3,1,256,4,medium,female,3.0%,4398,On Time,
3492,F,Ship,4,2,223,3,medium,male,3.0%,5121,Delayed,
3493,D,Ship,3,2,185,2,high,female,3.0%,4816,On Time,
3494,F,Ship,3,1,166,3,medium,male,9.0%,4410,Delayed,
3495,A,Ship,3,4,113,3,medium,male,1.0%,5765,On Time,
3496,B,Ship,4,1,134,2,medium,female,7.0%,5967,Delayed,
3497,C,Ship,4,3,228,2,high,female,4.0%,4719,On Time,
3498,F,Ship,3,4,204,2,low,female,10.0%,5844,On Time,
3499,D,Ship,3,1,152,2,medium,female,2.0%,4136,Delayed,
3500,F,Ship,3,2,195,2,medium,male,9.0%,5779,On Time,
3501,A,Ship,4,2,192,6,high,female,3.0%,5173,Delayed,
3502,B,Ship,4,2,247,3,medium,male,8.0%,4977,Delayed,
3503,C,Ship,3,1,135,2,medium,male,2.0%,4163,Delayed,
3504,F,Ship,4,2,209,2,medium,female,1.0%,5337,Delayed,
3505,D,Ship,2,4,173,2,low,male,1.0%,4721,Delayed,
3506,F,Ship,4,4,222,2,low,male,5.0%,5660,Delayed,
3507,A,Ship,4,3,192,3,medium,female,10.0%,4086,On Time,
3508,B,Ship,3,5,206,3,medium,female,6.0%,5618,Delayed,
3509,C,Ship,3,3,275,4,medium,male,6.0%,4687,On Time,
3510,F,Ship,2,3,192,3,medium,female,8.0%,5787,On Time,
3511,D,Ship,6,3,121,3,medium,female,10.0%,5208,Delayed,
3512,F,Ship,4,2,177,3,low,male,8.0%,4904,Delayed,
3513,A,Ship,3,1,243,3,low,female,2.0%,4989,Delayed,
3514,B,Ship,3,2,262,4,low,male,1.0%,4745,On Time,
3515,C,Ship,2,4,189,3,low,male,3.0%,5897,On Time,
3516,F,Ship,5,4,178,2,low,female,4.0%,5307,Delayed,
3517,D,Ship,3,4,232,3,medium,female,1.0%,4228,On Time,
3518,F,Ship,4,5,254,3,low,male,1.0%,4377,On Time,
3519,A,Ship,3,1,148,2,medium,male,5.0%,4082,On Time,
3520,B,Ship,4,3,253,4,high,male,4.0%,4868,On Time,
3521,C,Ship,4,5,223,3,medium,female,9.0%,5279,On Time,
3522,F,Ship,2,2,190,2,medium,male,7.0%,4075,Delayed,
3523,D,Ship,5,3,181,4,low,female,2.0%,5332,Delayed,
3524,F,Ship,2,3,226,3,low,male,8.0%,5119,Delayed,
3525,A,Ship,3,4,182,2,medium,male,8.0%,4883,Delayed,
3526,B,Ship,2,4,191,3,medium,female,6.0%,4119,Delayed,
3527,C,Ship,3,1,223,4,low,male,1.0%,4195,Delayed,
3528,F,Ship,4,5,274,3,medium,male,4.0%,4521,Delayed,
3529,D,Ship,4,4,218,2,low,male,9.0%,5637,Delayed,
3530,F,Ship,3,5,197,3,low,male,3.0%,5658,Delayed,
3531,A,Ship,4,2,137,3,low,female,6.0%,5271,Delayed,
3532,B,Ship,2,1,163,3,low,female,3.0%,5873,On Time,
3533,C,Ship,4,4,218,4,low,male,6.0%,4377,On Time,
3534,F,Ship,5,1,245,3,low,male,6.0%,4343,On Time,
3535,D,Ship,3,5,181,2,medium,male,2.0%,4089,Delayed,
3536,F,Road,6,3,222,5,high,female,2.0%,4612,Delayed,
3537,A,Road,4,5,259,2,low,male,7.0%,4390,On Time,
3538,B,Road,3,4,157,3,medium,female,6.0%,5398,On Time,
3539,C,Road,4,3,137,3,medium,female,10.0%,4820,On Time,
3540,F,Road,3,3,242,3,low,female,8.0%,4199,Delayed,
3541,D,Road,4,5,154,4,medium,male,7.0%,4938,Delayed,
3542,F,Road,3,2,150,2,low,female,3.0%,4174,Delayed,
3543,A,Road,5,3,174,3,medium,female,7.0%,5510,On Time,
3544,B,Road,5,5,265,3,high,female,3.0%,5837,On Time,
3545,C,Road,3,4,248,4,medium,male,8.0%,4540,Delayed,
3546,F,Road,4,3,186,3,low,male,7.0%,5156,On Time,
3547,D,Road,4,2,152,3,medium,male,6.0%,5764,On Time,
3548,F,Road,3,3,163,3,medium,male,2.0%,5791,On Time,
3549,A,Road,4,5,168,4,medium,male,5.0%,5735,On Time,
3550,B,Road,4,3,102,3,medium,female,3.0%,4845,On Time,
3551,C,Road,3,1,169,2,medium,female,1.0%,4783,On Time,
3552,F,Road,6,1,163,4,high,male,3.0%,4031,On Time,
3553,D,Road,2,1,154,3,medium,female,4.0%,5100,Delayed,
3554,F,Road,3,5,271,2,low,female,3.0%,4878,Delayed,
3555,A,Road,3,4,182,3,medium,female,7.0%,5409,On Time,
3556,B,Road,4,1,173,3,low,female,5.0%,5232,Delayed,
3557,C,Road,5,2,244,2,low,male,10.0%,5696,Delayed,
3558,F,Flight,4,5,214,2,low,male,8.0%,4512,Delayed,
3559,D,Flight,4,4,210,2,high,male,6.0%,4076,Delayed,
3560,F,Flight,5,3,194,7,medium,female,10.0%,5700,Delayed,
3561,A,Flight,4,3,185,10,high,female,7.0%,4818,On Time,
3562,B,Flight,3,3,121,2,low,male,10.0%,5130,On Time,
3563,C,Flight,3,1,203,3,medium,female,3.0%,4137,Delayed,
3564,F,Flight,2,5,134,10,high,male,8.0%,5472,Delayed,
3565,D,Flight,3,3,263,3,medium,female,9.0%,5665,On Time,
3566,F,Flight,5,1,279,8,low,female,6.0%,5888,On Time,
3567,A,Flight,4,5,222,3,low,female,5.0%,5584,Delayed,
3568,B,Flight,4,1,233,2,low,male,9.0%,4799,On Time,
3569,C,Flight,4,4,271,3,low,male,3.0%,4152,Delayed,
3570,F,Flight,3,4,118,4,low,male,6.0%,5964,Delayed,
3571,D,Flight,3,4,183,2,low,male,5.0%,4261,On Time,
3572,F,Flight,3,4,217,3,low,female,5.0%,4077,Delayed,
3573,A,Flight,3,5,245,10,medium,male,8.0%,4909,On Time,
3574,B,Flight,3,4,143,4,medium,male,5.0%,5545,On Time,
3575,C,Flight,3,3,149,3,medium,female,3.0%,4189,Delayed,
3576,F,Flight,4,5,275,6,medium,male,10.0%,1400,On Time,
3577,D,Flight,4,5,168,4,medium,female,4.0%,4776,On Time,
3578,F,Flight,4,1,102,3,medium,male,3.0%,4179,Delayed,
3579,A,Flight,3,2,169,2,medium,female,10.0%,4038,On Time,
3580,B,Ship,6,5,163,4,high,male,3.0%,5118,On Time,
3581,C,Ship,2,3,154,3,medium,male,3.0%,4478,Delayed,
3582,F,Ship,3,3,271,2,low,female,8.0%,4444,On Time,
3583,D,Ship,3,4,182,3,medium,female,2.0%,5281,On Time,
3584,F,Ship,4,5,173,3,low,female,7.0%,4410,Delayed,
3585,A,Ship,5,5,244,2,low,male,10.0%,5794,Delayed,
3586,B,Ship,4,5,214,2,low,male,3.0%,5546,Delayed,
3587,C,Ship,4,2,210,2,high,female,3.0%,5876,On Time,
3588,F,Ship,5,1,194,7,medium,male,8.0%,4770,Delayed,
3589,D,Ship,4,3,185,10,high,male,1.0%,4973,Delayed,
3590,F,Ship,3,1,121,2,low,male,2.0%,5210,On Time,
3591,A,Ship,3,4,203,3,medium,male,1.0%,5543,Delayed,
3592,B,Ship,2,3,134,10,high,female,1.0%,5632,Delayed,
3593,C,Ship,3,2,263,3,medium,male,8.0%,5447,On Time,
3594,F,Ship,5,2,279,8,low,male,5.0%,4785,Delayed,
3595,D,Ship,4,2,222,3,low,female,3.0%,5130,Delayed,
3596,F,Ship,4,2,233,2,low,female,5.0%,4668,Delayed,
3597,A,Ship,4,2,271,3,low,male,9.0%,4085,Delayed,
3598,B,Ship,3,5,118,4,low,female,10.0%,5699,On Time,
3599,C,Ship,3,4,183,2,low,male,3.0%,4179,On Time,
3600,F,Ship,3,4,217,3,low,female,5.0%,4883,On Time,
3601,D,Ship,3,4,245,10,medium,male,1.0%,5363,Delayed,
3602,F,Ship,3,2,143,4,medium,female,7.0%,4486,Delayed,
3603,A,Ship,3,2,149,3,medium,female,7.0%,4049,On Time,
3604,B,Ship,4,2,275,6,medium,male,9.0%,1890,Delayed,
3605,C,Ship,7,4,282,5,low,male,5.0%,1149,Delayed,
3606,F,Ship,4,1,276,2,medium,male,3.0%,1966,Delayed,
3607,D,Ship,4,5,244,3,low,male,6.0%,1360,On Time,
3608,F,Ship,5,5,258,4,medium,male,7.0%,5478,Delayed,
3609,A,Ship,3,5,257,3,low,male,5.0%,5657,Delayed,
3610,B,Ship,4,2,195,5,medium,male,9.0%,5178,On Time,
3611,C,Ship,2,2,152,4,low,male,6.0%,4606,On Time,
3612,F,Ship,2,1,100,3,low,male,1.0%,5776,On Time,
3613,D,Ship,4,1,248,2,medium,male,4.0%,5783,Delayed,
3614,F,Ship,4,5,274,2,low,female,2.0%,4492,On Time,
3615,A,Ship,3,3,203,2,low,male,1.0%,5244,Delayed,
3616,B,Ship,6,5,194,5,low,female,8.0%,4777,Delayed,
3617,C,Ship,3,3,142,3,low,female,7.0%,4439,Delayed,
3618,F,Ship,4,5,208,5,low,female,7.0%,5833,Delayed,
3619,D,Ship,4,5,237,2,medium,female,6.0%,5954,Delayed,
3620,F,Ship,3,1,210,2,low,male,9.0%,4580,Delayed,
3621,A,Ship,3,3,158,2,low,male,10.0%,4061,On Time,
3622,B,Ship,3,3,148,3,low,male,1.0%,5700,Delayed,
3623,C,Ship,3,2,146,3,high,female,4.0%,5846,On Time,
3624,F,Ship,3,3,155,3,low,female,3.0%,5768,Delayed,
3625,D,Ship,2,5,233,3,medium,male,10.0%,5211,On Time,
3626,F,Ship,3,4,165,2,medium,female,8.0%,4280,On Time,
3627,A,Ship,4,3,227,3,medium,female,10.0%,5491,On Time,
3628,B,Ship,5,3,197,4,low,female,6.0%,4184,Delayed,
3629,C,Ship,4,1,134,3,medium,male,2.0%,4983,Delayed,
3630,F,Ship,5,2,134,2,low,male,9.0%,5045,Delayed,
3631,D,Ship,4,5,194,2,low,male,3.0%,4724,On Time,
3632,F,Ship,3,4,172,3,low,female,4.0%,4337,Delayed,
3633,A,Ship,3,1,205,2,medium,female,2.0%,5322,Delayed,
3634,B,Ship,3,1,191,5,low,female,9.0%,5196,On Time,
3635,C,Ship,3,3,225,4,low,male,10.0%,5690,Delayed,
3636,F,Ship,5,5,152,6,medium,male,2.0%,4915,On Time,
3637,D,Ship,5,3,249,3,medium,male,10.0%,5001,On Time,
3638,F,Ship,5,5,136,3,low,male,4.0%,4218,On Time,
3639,A,Ship,3,5,146,5,high,female,7.0%,4538,Delayed,
3640,B,Ship,5,2,259,2,medium,male,1.0%,4607,Delayed,
3641,C,Ship,3,2,159,3,medium,male,4.0%,5577,On Time,
3642,F,Ship,5,1,162,3,medium,male,5.0%,4064,On Time,
3643,D,Ship,4,4,205,4,low,female,6.0%,5064,Delayed,
3644,F,Ship,5,5,155,3,medium,female,6.0%,4109,On Time,
3645,A,Ship,4,5,171,4,medium,female,4.0%,4151,Delayed,
3646,B,Ship,3,1,244,3,medium,female,1.0%,5695,On Time,
3647,C,Ship,5,5,135,3,medium,male,2.0%,5849,On Time,
3648,F,Ship,4,2,147,3,low,female,5.0%,5174,Delayed,
3649,D,Ship,3,2,245,2,low,female,4.0%,4514,On Time,
3650,F,Ship,5,4,266,6,low,female,5.0%,5481,Delayed,
3651,A,Ship,3,5,165,3,low,male,3.0%,5409,Delayed,
3652,B,Ship,4,3,226,3,medium,male,1.0%,5433,On Time,
3653,C,Ship,5,4,185,3,medium,female,1.0%,4925,Delayed,
3654,F,Ship,5,3,267,3,low,male,9.0%,5258,On Time,
3655,D,Ship,5,3,169,3,low,female,9.0%,4289,On Time,
3656,F,Ship,4,1,191,3,high,female,6.0%,5335,On Time,
3657,A,Ship,3,1,187,3,medium,male,2.0%,5154,On Time,
3658,B,Ship,3,2,265,6,low,male,9.0%,5936,Delayed,
3659,C,Ship,3,2,243,3,medium,female,8.0%,4093,Delayed,
3660,F,Ship,6,3,166,3,low,female,2.0%,5559,Delayed,
3661,D,Ship,5,3,249,2,medium,male,3.0%,4440,Delayed,
3662,F,Ship,4,1,271,2,low,female,1.0%,4866,Delayed,
3663,A,Ship,4,3,272,2,medium,female,5.0%,4681,On Time,
3664,B,Ship,4,3,226,2,low,female,8.0%,4526,Delayed,
3665,C,Ship,3,3,250,5,medium,male,8.0%,5762,On Time,
3666,F,Ship,2,5,135,6,medium,female,9.0%,5777,On Time,
3667,D,Ship,4,4,274,3,high,female,3.0%,4202,On Time,
3668,F,Ship,4,4,184,3,medium,female,2.0%,4124,On Time,
3669,A,Ship,2,1,139,2,medium,female,2.0%,4520,On Time,
3670,B,Ship,3,3,198,2,low,male,8.0%,4620,On Time,
3671,C,Ship,4,2,168,2,medium,male,1.0%,5154,Delayed,
3672,F,Ship,4,4,245,4,medium,male,4.0%,5203,On Time,
3673,D,Road,4,1,251,3,low,female,4.0%,4374,On Time,
3674,F,Road,4,1,153,2,medium,male,9.0%,4359,Delayed,
3675,A,Road,5,1,142,4,medium,female,2.0%,4735,On Time,
3676,B,Road,4,5,148,3,low,male,5.0%,4913,Delayed,
3677,C,Road,4,2,273,5,low,female,1.0%,5012,Delayed,
3678,F,Road,3,1,180,6,low,male,5.0%,4802,On Time,
3679,D,Road,3,3,158,3,low,female,2.0%,5205,On Time,
3680,F,Road,4,3,240,2,medium,female,2.0%,5588,Delayed,
3681,A,Road,4,1,174,3,low,male,7.0%,4813,On Time,
3682,B,Road,4,2,186,3,low,male,6.0%,4524,Delayed,
3683,C,Road,5,5,174,3,high,female,9.0%,5969,On Time,
3684,F,Road,4,1,260,4,low,male,10.0%,4072,On Time,
3685,D,Road,4,3,258,2,low,female,2.0%,4308,Delayed,
3686,F,Road,4,2,262,2,medium,male,3.0%,4090,On Time,
3687,A,Road,4,2,197,3,low,male,4.0%,5800,Delayed,
3688,B,Road,4,1,238,3,low,male,4.0%,5449,On Time,
3689,C,Road,3,3,168,2,low,female,9.0%,4608,Delayed,
3690,F,Road,4,3,266,3,low,male,9.0%,5621,On Time,
3691,D,Road,4,4,251,3,high,female,5.0%,5460,Delayed,
3692,F,Road,3,5,272,2,low,male,3.0%,5638,On Time,
3693,A,Road,5,3,203,2,medium,male,4.0%,4311,On Time,
3694,B,Road,5,5,168,3,low,male,6.0%,4096,Delayed,
3695,C,Flight,3,1,138,3,medium,female,7.0%,5534,Delayed,
3696,F,Flight,3,1,129,3,medium,male,9.0%,5296,On Time,
3697,D,Flight,4,4,178,6,low,female,9.0%,5279,On Time,
3698,F,Flight,5,1,211,2,medium,male,1.0%,5913,On Time,
3699,A,Flight,3,5,169,3,high,female,5.0%,5750,Delayed,
3700,B,Flight,3,2,267,3,low,male,8.0%,5922,Delayed,
3701,C,Flight,3,4,183,3,low,female,1.0%,5959,On Time,
3702,F,Flight,3,1,194,2,low,male,8.0%,4335,On Time,
3703,D,Flight,5,3,151,2,low,male,8.0%,4749,Delayed,
3704,F,Flight,6,3,225,4,low,male,5.0%,4184,On Time,
3705,A,Flight,5,2,184,4,low,male,6.0%,4155,On Time,
3706,B,Flight,3,2,269,2,medium,female,1.0%,4978,Delayed,
3707,C,Flight,3,2,274,2,medium,male,5.0%,5161,Delayed,
3708,F,Flight,5,4,142,2,high,male,7.0%,5341,Delayed,
3709,D,Flight,4,1,140,4,low,male,6.0%,5067,Delayed,
3710,F,Flight,4,1,219,5,medium,male,5.0%,5253,Delayed,
3711,A,Flight,2,3,237,3,medium,male,2.0%,5331,Delayed,
3712,B,Flight,3,5,140,5,low,male,7.0%,4370,On Time,
3713,C,Flight,5,5,105,5,low,female,10.0%,5418,On Time,
3714,F,Flight,3,1,192,2,low,male,6.0%,4056,Delayed,
3715,D,Flight,3,4,154,3,low,female,2.0%,4990,On Time,
3716,F,Flight,5,5,165,2,low,male,3.0%,4005,On Time,
3717,A,Ship,5,1,197,4,low,female,2.0%,5594,On Time,
3718,B,Ship,3,5,274,3,low,female,3.0%,5156,Delayed,
3719,C,Ship,3,5,193,3,high,female,10.0%,5991,On Time,
3720,F,Ship,3,1,252,4,high,male,4.0%,4303,Delayed,
3721,D,Ship,4,5,224,2,low,male,6.0%,4994,Delayed,
3722,F,Ship,5,2,230,4,low,female,4.0%,4782,On Time,
3723,A,Ship,4,2,174,3,medium,female,10.0%,4318,Delayed,
3724,B,Ship,3,2,226,3,medium,male,3.0%,4940,On Time,
3725,C,Ship,5,1,245,3,medium,male,9.0%,5690,Delayed,
3726,F,Ship,5,1,206,5,medium,male,2.0%,5766,Delayed,
3727,D,Ship,3,5,241,3,low,male,2.0%,4976,On Time,
3728,F,Ship,3,4,148,4,high,female,1.0%,4249,Delayed,
3729,A,Ship,5,2,181,3,low,male,7.0%,5875,Delayed,
3730,B,Ship,4,3,146,3,low,female,8.0%,5673,On Time,
3731,C,Ship,3,3,115,6,high,female,6.0%,5636,Delayed,
3732,F,Ship,4,5,201,3,low,female,10.0%,4530,On Time,
3733,D,Ship,5,5,273,4,low,male,1.0%,5225,On Time,
3734,F,Ship,5,5,228,5,low,female,6.0%,4506,Delayed,
3735,A,Ship,4,5,185,3,low,female,2.0%,4336,On Time,
3736,B,Ship,6,1,170,3,low,female,10.0%,4858,Delayed,
3737,C,Ship,4,4,156,2,low,male,7.0%,5017,Delayed,
3738,F,Ship,4,4,159,3,medium,male,3.0%,5545,Delayed,
3739,D,Ship,5,4,263,2,high,female,8.0%,4914,Delayed,
3740,F,Ship,3,5,159,3,medium,female,1.0%,4314,On Time,
3741,A,Ship,5,2,241,3,low,female,10.0%,4244,On Time,
3742,B,Ship,5,1,167,3,medium,male,3.0%,4267,On Time,
3743,C,Ship,4,5,231,3,low,male,4.0%,5089,On Time,
3744,F,Ship,4,2,233,2,low,female,5.0%,4817,Delayed,
3745,D,Ship,6,4,256,4,high,male,2.0%,5021,Delayed,
3746,F,Ship,3,1,205,4,high,female,3.0%,4426,Delayed,
3747,A,Ship,2,2,180,2,high,male,1.0%,4407,Delayed,
